countyGridIndex,FIPS,stateFips,county,lat,lon
0,22055,22,Lafayette Parish,30.093804499999997,-92.2214865
1,22055,22,Lafayette Parish,30.2075775,-92.2214865
2,22055,22,Lafayette Parish,30.3213505,-92.2214865
3,22055,22,Lafayette Parish,30.093804499999997,-92.0951095
4,22055,22,Lafayette Parish,30.2075775,-92.0951095
5,22055,22,Lafayette Parish,30.3213505,-92.0951095
6,22055,22,Lafayette Parish,30.093804499999997,-91.9687325
7,22055,22,Lafayette Parish,30.2075775,-91.9687325
8,22055,22,Lafayette Parish,30.3213505,-91.9687325
